a,omega,l,m,lambda,nu_real,nu_imag,|B_ref/B_inc|
5.0000000000e-01,3.0000000000e-01,3,2,9.2133343732e+00,2.8877558726e+00,1.2900625648e-19,1.1939593901e-03
5.0000000000e-01,3.0000000000e-01,3,3,8.8110796095e+00,2.8899437993e+00,-5.1073782401e-19,1.2563812435e-03
5.0000000000e-01,3.0000000000e-01,4,4,1.6574315534e+01,3.9198896412e+00,7.3947090438e-19,4.0643608832e-04
5.0000000000e-01,4.0000000000e-01,2,2,2.6767839350e+00,1.9999999995e+00,-5.2585987893e-11,1.3032604761e-02
5.0000000000e-01,4.0000000000e-01,3,2,8.9570358350e+00,2.7953603324e+00,1.2250542401e-19,3.9020823253e-03
5.0000000000e-01,4.0000000000e-01,3,3,8.4195948733e+00,2.8010918402e+00,-4.9693384719e-19,4.1778032033e-03
5.0000000000e-01,4.0000000000e-01,4,4,1.6105379027e+01,3.8569768449e+00,2.1813448278e-18,1.3383340439e-03
5.0000000000e-01,5.0000000000e-01,2,2,2.3489630694e+00,,,
5.0000000000e-01,5.0000000000e-01,3,2,8.7036941037e+00,,,
5.0000000000e-01,5.0000000000e-01,3,3,8.0304563782e+00,2.6792304799e+00,-9.6938153266e-19,1.0710241040e-02
5.0000000000e-01,5.0000000000e-01,4,4,1.5639543026e+01,3.7742878014e+00,-1.5987844005e-18,3.4052282822e-03
7.0000000000e-01,1.0000000000e-01,2,2,3.5346095432e+00,1.9802621952e+00,9.0366018259e-20,7.3116849997e-05
7.0000000000e-01,1.0000000000e-01,3,2,9.6295707233e+00,2.9877759145e+00,-3.0964156643e-20,1.3972114892e-05
7.0000000000e-01,1.0000000000e-01,3,3,9.4424327708e+00,2.9878803638e+00,-6.1375191254e-20,1.4305139465e-05
7.0000000000e-01,1.0000000000e-01,4,4,1.7331131311e+01,3.9910855011e+00,9.6056265867e-20,4.7018178593e-06
7.0000000000e-01,2.0000000000e-01,2,2,3.0716918330e+00,2.0000000092e+00,1.5123362929e-09,1.0896410971e-03
7.0000000000e-01,2.0000000000e-01,3,2,9.2649492432e+00,2.9512762184e+00,3.7241724883e-19,2.3432271395e-04
7.0000000000e-01,2.0000000000e-01,3,3,8.8896615523e+00,2.9521061357e+00,-2.4264959227e-19,2.4572953983e-04
7.0000000000e-01,2.0000000000e-01,4,4,1.6668477320e+01,3.9647638400e+00,3.8457265188e-19,7.9632535972e-05
