a,omega,l,m,lambda,ref_ratio,calc_ratio,diff
0.9,0.1,3,3,9.2840133346,1.4597995182e-05,1.4597995124422253e-05,5.757774729816655e-14
0.9,0.1,4,4,17.141170617,4.7785915885e-06,4.778591588719183e-06,2.1918332762920628e-16
0.9,0.2,2,2,2.8082321901,0.0011355022205,0.0013499553313316929,0.00021445311083169286
0.9,0.2,3,2,9.0592001971,0.00024077324656,0.00024077323399341314,1.2566586849891911e-11
0.9,0.2,3,3,8.575905021,0.00025602751546,0.00025602706693521495,4.485247850753195e-10
0.9,0.2,4,4,16.292580021,8.2287041937e-05,8.228704182029692e-05,1.1670307461294355e-13
0.9,0.3,2,2,2.2181476863,0.0050729650912,0.007633729080913229,0.0025607639897132287
0.9,0.3,3,2,8.6031842218,0.0012958945422,0.0012958920836853099,2.4585146902230542e-09
0.9,0.3,3,3,7.8754490979,0.0014224642772,0.0014223445674968773,1.1970970312268937e-07
0.9,0.3,4,4,15.454070524,0.00044878717146,0.00044878711510867083,5.635132914764626e-11
0.9,0.4,2,2,1.6316056936,0.014171721959,0.026729172639445187,0.012557450680445188
0.9,0.4,3,2,8.1567228067,0.0043564810666,0.004356343167464455,1.3789913554541205e-07
0.9,0.4,3,3,7.1824154063,0.0049461681088,0.004937887763963803,8.28034483619719e-06
0.9,0.4,4,4,14.625479139,0.0015295900962,0.0015295845951252595,5.501074740480935e-09
0.9,0.5,2,2,1.0483733823,0.036413800884,0.0715684621447999,0.03515466126079989
0.9,0.5,3,2,7.7197700678,0.011322291298,0.011317384948000133,4.906349999866597e-06
0.9,0.5,3,3,6.496570189,0.0083335521013,0.013253071414938995,0.004919519313638994
0.9,0.5,4,4,13.806637655,0.0040312488982,0.004031125292497911,1.236057020886222e-07
